URL,Service,Location,Word Count,Meta Title Length,Meta Desc Length,H1 Unique,Meta Title Unique,Other Services Links,Nearby Locations Links,SEO Pass,Published
"https://www.articclean.it/servizi/gestione-carrellati/bagnolo-mella","Gestione Carrellati","Bagnolo Mella",142,48,129,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/bedizzole","Gestione Carrellati","Bedizzole",142,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/brescia","Gestione Carrellati","Brescia",142,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/calcinato","Gestione Carrellati","Calcinato",138,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/capriolo","Gestione Carrellati","Capriolo",142,43,124,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/castenedolo","Gestione Carrellati","Castenedolo",140,46,127,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/cazzago-san-martino","Gestione Carrellati","Cazzago San Martino",139,54,135,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/chiari","Gestione Carrellati","Chiari",139,41,122,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/concesio","Gestione Carrellati","Concesio",141,43,124,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/desenzano-del-garda","Gestione Carrellati","Desenzano del Garda",141,54,135,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/erbusco","Gestione Carrellati","Erbusco",139,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/ghedi","Gestione Carrellati","Ghedi",144,40,121,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/lonato-del-garda","Gestione Carrellati","Lonato del Garda",145,51,132,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/lumezzane","Gestione Carrellati","Lumezzane",137,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/manerbio","Gestione Carrellati","Manerbio",142,43,124,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/mazzano","Gestione Carrellati","Mazzano",143,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/montichiari","Gestione Carrellati","Montichiari",137,46,127,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/orzinuovi","Gestione Carrellati","Orzinuovi",142,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/palazzolo-sull-oglio","Gestione Carrellati","Palazzolo sull'Oglio",139,55,136,"YES","YES",3,4,"FAIL",true
